code,interval,option_days,sharpe,win_rate,pnl_ratio,max_dd,recov_factor,total_return,margin_per_trade,max_concurrent,total_trades,peak_margin,score
AVGO,H1,14,1.9,0.9333,4.55,-0.007,11.6571,0.0816,3300.0,3,15,9900.0,13.6387
META,M30,21,1.76,0.88,0.82,-0.0275,11.2,0.308,5120.0,8,25,40960.0,13.268
MCD,M5,14,2.83,0.8796,0.6,-0.0221,10.18,0.2246,1451.3889,8,108,11611.1111,13.2346
MSFT,M5,7,2.34,0.8113,0.75,-0.0132,10.67,0.141,2283.0189,4,53,9132.0755,13.151
NVDA,M15,7,2.61,0.898,1.05,-0.007,10.3286,0.0723,867.3469,5,49,4336.7347,13.0109
TSM,M5,28,2.93,0.8462,1.02,-0.0624,9.32,0.5816,2842.3077,15,130,42634.6154,12.8316
AMZN,M5,7,2.88,0.8188,0.69,-0.024,9.48,0.2274,1228.125,12,160,14737.5,12.5874
IWM,H1,28,2.54,0.9,4.51,-0.007,9.8,0.0686,1090.0,4,20,4360.0,12.4086
JPM,H1,28,1.66,0.9167,5.75,-0.007,10.5,0.0735,2000.0,3,12,6000.0,12.2335
AMZN,M30,21,2.18,0.8571,1.35,-0.0094,9.45,0.0891,1928.5714,5,28,9642.8571,11.7191
IWM,M30,7,2.32,0.9,1.27,-0.007,8.9571,0.0627,1190.0,3,30,3570.0,11.3398
GOOG,M15,28,1.68,0.75,1.23,-0.0109,8.76,0.0953,1887.5,7,40,13212.5,10.5353
