entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,long_prem,short_prem,net_debit,long_settle,short_settle,final_pnl
2025-04-22 07:45:00,2025-04-22 07:45:00,direct_entry,2025-05-06 16:00:00,expiry,5230,5360,64.2029,18.9870,45.2160,396.7500,266.7500,84.7840
2025-05-07 01:30:00,2025-05-07 01:30:00,direct_entry,2025-05-21 16:00:00,expiry,5660,5800,72.0256,21.9716,50.0541,196.5000,56.5000,89.9459
2025-05-21 22:35:00,2025-05-21 22:35:00,direct_entry,2025-06-04 16:00:00,expiry,5860,6010,74.8091,21.0607,53.7484,118.7500,0.0000,65.0016
2025-06-08 23:30:00,2025-06-08 23:30:00,direct_entry,2025-06-23 16:00:00,expiry,5990,6150,78.4610,21.7454,56.7156,83.7500,0.0000,27.0344
2025-06-30 11:00:00,2025-06-30 11:00:00,direct_entry,2025-07-14 16:00:00,expiry,6240,6390,77.1003,23.8406,53.2597,68.5000,0.0000,15.2403
2025-07-14 19:10:00,2025-07-14 19:10:00,direct_entry,2025-07-28 16:00:00,expiry,6300,6460,79.0740,22.4792,56.5948,123.7500,0.0000,67.1552
2025-07-15 16:35:00,2025-07-15 16:35:00,direct_entry,2025-07-29 16:00:00,expiry,6280,6430,76.0063,23.3186,52.6877,125.2500,0.0000,72.5623
2025-07-30 09:55:00,2025-07-30 09:55:00,direct_entry,2025-08-13 16:00:00,expiry,6410,6570,80.6852,23.8925,56.7927,80.7500,0.0000,23.9573
2025-07-31 14:20:00,2025-07-31 14:20:00,direct_entry,2025-08-14 16:00:00,expiry,6390,6550,77.7909,22.4555,55.3354,93.0000,0.0000,37.6646
2025-08-01 13:40:00,2025-08-01 13:40:00,direct_entry,2025-08-15 16:00:00,expiry,6250,6410,80.3300,23.0064,57.3236,216.5000,56.5000,102.6764
2025-08-19 14:40:00,2025-08-19 14:40:00,direct_entry,2025-09-02 16:00:00,expiry,6420,6580,82.3338,24.4531,57.8807,5.0000,0.0000,-52.8807
2025-08-21 12:35:00,2025-08-21 12:35:00,direct_entry,2025-09-04 16:00:00,expiry,6390,6550,78.7897,22.9303,55.8594,121.5000,0.0000,65.6406
2025-09-05 14:10:00,2025-09-05 14:10:00,direct_entry,2025-09-19 16:00:00,expiry,6470,6640,82.7562,22.7270,60.0292,254.5000,84.5000,109.9708
2025-09-22 07:50:00,2025-09-22 07:50:00,direct_entry,2025-10-06 16:00:00,expiry,6700,6870,85.2742,24.8597,60.4144,89.5000,0.0000,29.0856
2025-09-25 09:10:00,2025-09-25 09:10:00,direct_entry,2025-10-09 16:00:00,expiry,6660,6830,82.3648,23.4612,58.9036,120.5000,0.0000,61.5964
2025-10-10 15:15:00,2025-10-10 15:15:00,direct_entry,2025-10-24 16:00:00,expiry,6630,6800,85.0188,24.2066,60.8122,197.5000,27.5000,109.1878
2025-10-14 06:55:00,2025-10-14 06:55:00,direct_entry,2025-10-28 16:00:00,expiry,6620,6790,82.8028,23.5750,59.2278,305.7500,135.7500,110.7722
2025-10-30 13:20:00,2025-10-30 13:20:00,direct_entry,2025-11-13 16:00:00,expiry,6890,7070,88.9309,24.7707,64.1601,0.0000,0.0000,-64.1601
2025-11-03 23:50:00,2025-11-03 23:50:00,direct_entry,2025-11-17 16:00:00,expiry,6850,7020,83.1706,23.9288,59.2417,0.0000,0.0000,-59.2417
2025-11-07 10:05:00,2025-11-07 10:05:00,direct_entry,2025-11-21 16:00:00,expiry,6700,6870,85.2439,24.7617,60.4822,0.0000,0.0000,-60.4822
2025-11-17 15:15:00,2025-11-17 15:15:00,direct_entry,2025-12-01 16:00:00,expiry,6670,6830,82.2159,25.3128,56.9031,158.2500,0.0000,101.3469
2025-11-20 14:05:00,2025-11-20 14:05:00,direct_entry,2025-12-04 16:00:00,expiry,6590,6750,80.4565,24.3073,56.1492,274.7500,114.7500,103.8508
2025-12-09 20:25:00,2025-12-09 20:25:00,direct_entry,2025-12-23 16:00:00,expiry,6840,7010,86.9439,25.5972,61.3466,119.7500,0.0000,58.4034
