long_entry_time,short_entry_time,planned_expiry,actual_settlement_time,is_early_exit,k1,k2,long_entry_price,short_entry_price,net_debit,long_settlement_price,short_settlement_price,payoff,net_pnl
2026-02-20 09:30:00,2026-02-23 09:30:00,2026-03-18 09:30:00,2026-03-18 09:30:00,False,24950,25026.0000,474.4236,384.7084,89.7153,2.7500,0.0000,2.7500,-86.9653
2026-03-02 03:30:00,2026-03-04 12:15:00,2026-03-25 03:30:00,2026-03-25 03:30:00,False,24550,25232.7500,451.1245,384.3069,66.8175,0.0000,0.0000,0.0000,-66.8175
2026-02-26 13:15:00,2026-03-01 18:00:00,2026-03-25 13:15:00,2026-03-25 13:15:00,False,24900,25019.7500,506.7453,347.4756,159.2696,0.0000,0.0000,0.0000,-159.2696
2026-03-08 21:30:00,2026-03-10 04:45:00,2026-04-01 21:30:00,2026-03-31 23:45:00,False,24050,25187.7500,456.2657,405.9634,50.3023,0.0000,0.0000,0.0000,-50.3023
2026-03-11 06:00:00,2026-03-15 18:00:00,2026-04-01 06:00:00,2026-03-31 23:45:00,False,24950,25074.2500,447.5262,160.0602,287.4660,0.0000,0.0000,0.0000,-287.4660
2026-03-18 18:30:00,2026-03-20 14:30:00,2026-04-08 18:30:00,2026-03-31 23:45:00,False,24600,24680.0000,417.9155,169.4236,248.4919,0.0000,0.0000,0.0000,-248.4919
2026-03-20 15:45:00,2026-03-23 15:45:00,2026-04-15 15:45:00,2026-03-31 23:45:00,False,24100,24498.7500,478.0560,396.6284,81.4276,0.0000,0.0000,0.0000,-81.4276
2026-03-25 19:45:00,2026-03-26 14:15:00,2026-04-15 19:45:00,2026-03-31 23:45:00,False,24300,24423.7500,435.9384,178.9377,257.0007,0.0000,0.0000,0.0000,-257.0007
2026-03-26 16:00:00,2026-03-27 13:30:00,2026-04-22 16:00:00,2026-03-31 23:45:00,False,23900,24002.5000,477.5312,204.1135,273.4177,81.7500,0.0000,81.7500,-191.6677
2026-03-27 16:45:00,2026-03-30 16:45:00,2026-04-22 16:45:00,2026-03-31 23:45:00,False,23250,23354.2500,456.2208,307.3903,148.8306,731.7500,627.5000,104.2500,-44.5806
